State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AL,US,Industrial Processes,All GHG,8.901139,8.573613,8.462696,8.593291,9.185217,9.691122,10.02906,10.40128,11.08627,11.22485,11.74485,11.37111,12.76734,12.43926,12.13542,12.04622,12.49884,12.3042,12.48157,10.33074,8.805646,9.589035,9.000485,9.411043,10.85845,9.917479,9.983672,9.511012,8.909407,9.318609,9.208178
USA.AL,US,Land-Use Change and Forestry,CH4,0.599822,0.591805,0.591748,0.595045,0.568612,0.562917,0.562296,0.559045,0.564668,0.55771,0.562971,0.558315,0.556418,0.554772,0.557125,0.590478,0.576035,0.569408,0.578743,0.558901,0.590422,0.568292,0.555515,0.596737,0.633185,0.613243,0.621211,0.596937,0.553407,0.587381,0.577353
USA.AL,US,Land-Use Change and Forestry,CO2,-50.8091,-50.3218,-50.367,-50.7078,-50.5439,-50.5133,-50.0373,-49.4859,-49.8088,-49.378,-49.4429,-48.4014,-48.6323,-48.5078,-49.9086,-49.8508,-50.8094,-50.8192,-50.8453,-51.1415,-52.7258,-53.5008,-54.0599,-55.2415,-56.3875,-57.3208,-56.85,-56.38,-55.7818,-55.3058,-54.6694
USA.AL,US,Land-Use Change and Forestry,N2O,0.030996,0.030993,0.035535,0.044191,0.043129,0.040184,0.044216,0.036599,0.035927,0.033287,0.04994,0.043161,0.035296,0.034334,0.052077,0.161805,0.192504,0.06516,0.072865,0.04947,0.080319,0.050697,0.032147,0.089747,0.128585,0.109409,0.110484,0.088062,0.032327,0.080566,0.074981
USA.AL,US,Land-Use Change and Forestry,All GHG,-50.1783,-49.6991,-49.7397,-50.0685,-49.9321,-49.9102,-49.4308,-48.8903,-49.2082,-48.787,-48.83,-47.7999,-48.0406,-47.9187,-49.2994,-49.0985,-50.0409,-50.1847,-50.1937,-50.5331,-52.055,-52.8819,-53.4722,-54.555,-55.6258,-56.5981,-56.1183,-55.695,-55.1961,-54.6379,-54.0171
USA.AL,US,Waste,CH4,2.799543,2.710173,2.683776,3.323596,3.381493,3.36452,3.244485,3.636464,3.544576,3.324083,3.404522,3.276865,3.31329,3.168024,3.205748,3.183297,3.067023,3.241721,3.25084,3.639812,3.906871,3.801887,3.900531,3.911665,4.237517,3.961062,4.016375,4.183062,4.506335,4.710294,4.851391
USA.AL,US,Waste,N2O,0.292357,0.298677,0.306599,0.311869,0.322214,0.324354,0.329388,0.331751,0.338042,0.347357,0.34983,0.342054,0.343268,0.346473,0.350354,0.349238,0.356905,0.360053,0.35817,0.35512,0.361664,0.354112,0.3983,0.376406,0.372822,0.36781,0.368432,0.373894,0.377431,0.374913,0.376857
USA.AL,US,Waste,All GHG,3.0919,3.008849,2.990376,3.635464,3.703708,3.688874,3.573874,3.968215,3.882618,3.671439,3.754352,3.618919,3.656558,3.514497,3.556103,3.532535,3.423928,3.601774,3.60901,3.994933,4.268535,4.155999,4.298831,4.28807,4.610339,4.328872,4.384806,4.556956,4.883767,5.085207,5.228248
USA.AL,US,Total including LUCF,All GHG,90.82369,94.77311,100.3833,103.2356,104.6849,115.1312,119.3867,115.8091,118.1484,120.5277,126.5829,118.5189,122.4677,124.0468,122.675,123.2523,124.0643,126.9496,121.2339,100.9081,110.5547,105.7532,97.20289,94.81814,96.28048,89.55992,83.22596,77.48532,83.41378,77.16958,70.68063
USA.AL,US,Total excluding LUCF,CH4,26.4891,25.98076,25.02519,23.063,25.0017,27.03871,24.61839,23.09478,22.89859,22.55326,22.34811,20.66282,18.93151,19.17791,18.39665,17.10004,16.47862,17.75342,19.50758,20.24057,20.09268,18.46898,18.43469,18.29147,17.92046,15.72166,14.87683,15.25477,16.27353,15.12926,15.69091
USA.AL,US,Total excluding LUCF,CO2,109.2837,112.8397,119.3488,124.4711,123.1744,131.608,137.3589,134.642,137.4085,139.5145,145.9369,138.145,144.0814,145.2988,146.2215,147.765,150.3546,151.9554,144.0392,122.8458,134.5923,131.4787,124.2174,122.9449,125.7157,121.9898,116.2326,109.8766,114.2241,108.4808,101.0681
USA.AL,US,Total excluding LUCF,N2O,4.705576,5.145845,5.223484,5.170818,5.69466,5.34474,5.58133,5.507116,5.493679,5.530668,5.300446,5.573457,5.509335,5.444601,5.267388,5.341779,5.032167,5.073958,5.397194,5.184188,4.770366,5.010046,4.945702,4.979563,4.866996,4.976784,4.741322,4.544537,4.583978,4.571721,4.23245
USA.AL,US,Total excluding LUCF,F-Gas,0.523622,0.505828,0.525611,0.599278,0.746299,1.05,1.258807,1.455433,1.555771,1.716274,1.827356,1.937562,1.986056,2.044118,2.088822,2.143894,2.239797,2.351525,2.483649,3.170687,3.154339,3.677313,3.077353,3.157245,3.403056,3.46986,3.49355,3.504401,3.52821,3.625702,3.706196
USA.AL,US,Total excluding LUCF,All GHG,141.002,144.4722,150.1231,153.3042,154.6171,165.0415,168.8175,164.6994,167.3566,169.3147,175.4128,166.3189,170.5083,171.9655,171.9743,172.3508,174.1052,177.1343,171.4276,151.4412,162.6097,158.635,150.6751,149.3732,151.9062,146.1581,139.3443,133.1803,138.6099,131.8075,124.6977
USA.AL,US,Total including LUCF,CH4,27.08892,26.57256,25.61694,23.65804,25.57031,27.60163,25.18068,23.65383,23.46325,23.11097,22.91108,21.22113,19.48793,19.73268,18.95378,17.69052,17.05466,18.32283,20.08633,20.79947,20.6831,19.03728,18.9902,18.88821,18.55364,16.3349,15.49804,15.85171,16.82694,15.71664,16.26826
USA.AL,US,Total including LUCF,CO2,58.47457,62.51788,68.98176,73.7633,72.63054,81.09467,87.32162,85.1561,87.59972,90.13653,96.49403,89.74364,95.44907,96.79103,96.31292,97.91428,99.54518,101.1362,93.19389,71.70431,81.86656,77.97786,70.15749,67.70338,69.3282,64.66896,59.38256,53.49661,58.44233,53.17496,46.39874
USA.AL,US,Total including LUCF,N2O,4.736573,5.176838,5.259019,5.215009,5.73779,5.384925,5.625547,5.543714,5.529607,5.563955,5.350386,5.616618,5.544631,5.478934,5.319464,5.503584,5.224671,5.139118,5.470059,5.233658,4.850684,5.060743,4.977848,5.06931,4.995581,5.086193,4.851806,4.632599,4.616305,4.652287,4.307431
USA.AL,US,Total including LUCF,F-Gas,0.523622,0.505828,0.525611,0.599278,0.746299,1.05,1.258807,1.455433,1.555771,1.716274,1.827356,1.937562,1.986056,2.044118,2.088822,2.143894,2.239797,2.351525,2.483649,3.170687,3.154339,3.677313,3.077353,3.157245,3.403056,3.46986,3.49355,3.504401,3.52821,3.625702,3.706196
USA.AR,US,Agriculture,CH4,9.220181,9.956862,8.605262,9.779796,9.715703,9.378109,9.760136,9.036134,9.525839,9.642996,9.783183,8.464603,9.239775,8.387186,9.578478,11.31351,9.453522,9.760461,8.751221,10.2147,12.20534,9.53084,9.859088,7.608581,8.657,9.322277,9.028131,8.651288,8.953103,8.739753,8.969961
